id,code,name,department_id,active
1,WIP,Work in process,8,1
2,PA,PACKKING,8,1
3,SU,SUPPLY,8,1
4,SOYSAUCE,SOY SAUCE,8,1
5,SEASONING,SEASONING,8,1
6,MISO,MISO,8,1
7,VINEGAR,ORANGANIC VINEGAR,8,1
8,BARLEY,BARLEY PRODUCT,8,1
9,EN,อุปกรณ์ทางด้านวิศวกรรม,10,1
10,OE,เครื่องใช้สำนักงาน,5,1
11,RM,RAW MATERIAL,8,1
12,FG,Finish goods,8,1
13,R,วัตถุดิบ (Raw Material),9,1
14,SP,ของใช้สิ้นเปลือง,5,1
15,C,Chemical,3,1
16,EX,ส่งออก (EXPORT),2,1
17,PPE,อุปกรณ์คุ้มครองอันตรายส่วนบุคคล,5,1
18,SC,ค่าบริการ (Service Chage),8,1
19,LPD,วัสดุสิ้นเปลืองการผลิต,8,1
20,IT-COMPUTER,คอมพิวเตอร์,11,1
21,IT-NETWORK,เน็ทเวิร์ค,11,1
22,IT-PRINTER,เครื่องพิมพ์,11,1
23,IT-SOFTWARE,โปรแกรม,11,1
24,IT-NOTEBOOK,โน้ตบุ๊ค,11,1
25,O,อื่นๆ  (Other),3,1
26,S,ค่าบริการ (Service Chage),3,1
27,E,อุปกรณ์ (Equipment),9,1
28,SE,อุปกรณ์วิทยาศาสตร์ (Science equipment),9,1
29,SC,ค่าบริการ (Service Chage),10,1
30,OT,อื่นๆ,10,1
31,OTHER,อื่นๆ,8,1
32,MC,เครื่องจักร,10,1
33,PI,อุปกรณ์ท่อ,10,1
34,ST,เหล็กรูปพรรณ,10,1
35,ET,อุปกรณ์ไฟฟ้า,10,1
36,CA,อุปกรณ์สอบเทียบ,10,1
37,SP,อุปกรณ์อะไหล่เครื่องจักร,10,1
38,TO,อุปกรณ์เครื่องมือ,10,1
39,PJ,งานโครงการ,10,1
40,JO,ข้อต่อ,10,1
41,VA,วาล์ว,10,1
42,CT,ก่อสร้าง,10,1
43,MS,อุปกรณ์วัด,10,1
44,MCPD,เครื่องจักรเกี่ยวกับการผลิต,10,1
45,MCUT,เครื่องจักร Utility,10,1
46,SC,ค่าบริการ (Service Chage),9,1
47,EQ,อุปกรณ์เครื่องใช้,10,1
48,E,Equipment ,3,1
49,.,.,3,1
50,UN,เครื่องแต่งกาย,5,1
51,SV,ค่าบริการต่างๆ,5,1
52,OT,อื่นๆ,5,1
53,SU,วัสดุสิ้นเปลืองใช้ไป (Supplies Used),2,1
54,OTHER,อื่นๆ,2,1
55,OT,อื่นๆ (Other),9,1
56,RECYCLE,ขยะรีไซเคิล,8,1
57,PC,งาน Pest Control,5,1
58,N-MC,เครื่องจักร(ซื้อใหม่),10,1
59,PA-OT,ทั่วไป,1,1
60,PA-CE,อุปกรณ์ทำความสะอาด,1,1
61,PA-SV,ค่าบริการต่างๆ,1,1
62,PA-SP,ของใช้สิ้นเปลือง,1,1
63,PA-IT,อุปกรณ์ไอที,1,1
64,PA-CM,สารเคมี,1,1
