id,code,name,department_id,active
1,MO,มอเตอร์,10,1
3,PT,อะไหล่เครื่องจักร,10,1
4,TL,เครื่องมือ,10,1
5,WG,ค่าแรง,10,1
6,SA,อุปกรณ์สุขภัณฑ์,10,1
7,PI,อุปกรณ์ประปา,10,1
8,ET,อุปกรณ์ไฟฟ้า,10,1
9,PDA,RAW  MATERIAL RECEIVING AND DISCHARGING EQUIPMENT,10,1
10,BD,อุปกรณ์ก่อสร้าง,10,1
11,B,SCREW  OIL  PRESS  MACHINE,10,1
22,SN,หมวดอุปกรณ์เครื่องเขียน,5,1
23,RL,Raw Material Liquid,8,1
24,RS,Raw Material Solid,8,1
25,PBC,Packaging Box Craft Paper,8,1
26,PBO,Packaging Box Other,8,1
27,PCC,Pakaging Container Can,8,1
28,PCG,Pakaging Container Glass,8,1
29,PCP,Pakaging Container Plastic or PET,8,1
30,PCS,Pakaging Container Sachet,8,1
31,PLP,Pakaging Label Paper,8,1
32,PLS,Pakaging Label Sticker,8,1
33,PSF,Pakaging Seal Foil,8,1
34,PSM,Pakaging Seal Metal Cap,8,1
35,PSO,Pakaging Seal Other,8,1
36,PSP,Pakaging Seal Plastic Cap,8,1
37,PSS,Pakaging Seal Shrink Film,8,1
38,QC-01,สารเคมีlab,3,1
39,FJ,Japanese Soy Sauce,8,1
40,FB,Barley Coffee ot Tea,8,1
41,FC,Chinese Soy Sauce,8,1
42,FS,Seasoning Sauce,8,1
43,FF,Fairtrade Product,8,1
44,FM,Miso,8,1
45,FV,Vinegar,8,1
46,SFO,Supply,8,1
47,QC-02,อุปกรณ์lab,3,1
48,QC-03,วิเคราะห์คุณภาพ  External  Lab,3,1
49,WIP,Work In Process,8,1
50,RE,อุปกรณ์ซ่อมแซม (Repair eguipment),2,1
51,RD-01,งานทดลอง,9,1
52,RD-02,ค่าส่งตัวอย่าง,9,1
53,QR-04,เชื้อจุลินทรีย์,3,1
54,RD-03,อุปกรณ์ บรรจุภัณฑ์,9,1
55,CE,หมวดอุปกรณ์ทำความสะอาด,5,1
56,NOTEBOOK,โน้ตบุ๊ค,11,1
57,DESKTOP PC,คอมพิวเตอร์,11,1
58,HARDWARE,อุปกรณ์คอมพิวเตอร์,11,1
59,STORAGE,อุปกรณ์จัดเก็บข้อมูล,11,1
60,ACCESSORIES,อุปกรณ์เสริมคอมพิวเตอร์,11,1
61,PERIPHERALS,อุปกรณ์ต่อพ่วง,11,1
62,PRINTER,อุปกรณ์การพิมพ์,11,1
63,SOFTWARE,โปรแกรม,11,1
64,NETWORK,อุปกรณ์เน็ตเวิร์ค,11,1
65,CCTV,กล้องวงจรปิด,11,1
66,FT,ฟิตติ้ง,10,1
67,PS,แรงดัน,10,1
68,FO,Oill,8,1
69,OT,Others,8,1
70,UP,UPVC,10,1
71,PV,PVC,10,1
72,KA,กาวาไนท์,10,1
73,ST,สตรีม,10,1
74,RB,สายยาง,10,1
75,OT,อื่นๆ,10,1
76,SL,สแตนเลส,10,1
77,IR,เหล็ก,10,1
78,WI,สายไฟ,10,1
79,PD,เครื่องจักรผลิต,10,1
80,FL,กรอง Filter,10,1
81,EQ,"อุปกรณ์,ท่อร้อยสาย",10,1
