id,code,name,active
1,C-001,ทำความสะอาดทั่วไป,1
2,I-001,ตรวจเช็คระบบไฟฟ้า,1
3,I-002,ตรวจเช็คระบบกลไก,1
4,I-003,ตรวจเช็คตลับลูกปืน,1
5,I-004,ตรวจเช็คการรั่วของลม,1
6,I-005,ตรวจเช็คระบบส่งถ่าย,1
7,I-006,ตรวจเช็คสภาพภายนอก,1
8,C-002,ทำความสะอาดชิ้นส่วนเครื่องจักร,1
9,L-001,เติม/เปลี่ยน-น้ำมันหล่อลื่นชุดเฟืองตัวหนอน,1
10,L-002,เติม/เปลี่ยน-จารบีหล่อลื่นชุดเฟืองตัวหนอน,1
11,L-003,เติม/เปลี่ยน-น้ำมันหล่อลื่นชุดเฟืองทด,1
12,L-004,เติม/เปลี่ยน-จารบีหล่อลื่นชุดเฟืองทด,1
13,L-005,อัดจารบีธรรมดา,1
14,L-006,อัดจารบีฟู้ดเกรด,1
15,L-007,อัดจารบีทนความร้อน,1
16,A-075,ปรับตั้งความตึงสายพานกระพ้อ,1
17,A-002,ปรับตั้งโซ่ขับ,1
18,A-003,ปรับตั้งสายพานลำเลียง,1
19,A-004,ปรับตั้งตัวรับสัญญาณต่างๆ,1
20,T-001,ขันแน่นน๊อตฐานมอเตอร์และชุดเกียร์,1
21,T-002,ขันแน่นน๊อตยึดชุดตลับลูกปืน,1
22,C-003,ทำความสะอาดชุดกรองอากาศ,1
23,T-003,ขันแน่นจุดต่อไฟฟ้า,1
24,C-004,ทำความสะอาดพัดลมหัว-ท้าย,1
25,A-005,"ตรวจสัมผัสความร้อน,เสียง,สั่น,กลิ่น,ผิดปกติ",1
26,L-008,อัดจารบีแบริ่งหัว-ท้ายมอเตอร์,1
27,A-007,"วัดค่าความร้อน,วัดค่าความสั่น,วัดแบริ่ง",1
28,A-008,การรั่วซึ่มของน้ำมัน ,1
29,I-007,ตรวจเช็คการทำงานของคาปาซิเตอร์,1
30,I-009,บันทึกค่าแรงเคลื่อนไฟฟ้า กระแสไฟฟ้า,1
31,I-008,ตรวจเช็คการทำงานของสวิทซ์ Auto/Man และลิมิตสวิทซ์ปรับตั้งโซ่,1
32,I-010,บันทึกค่าเพาเวอร์เฟคเตอร์ (P.F.),1
33,I-011,บันทึกปริมาณการใช้ไฟฟ้า(Kw/hr),1
34,A-009,ปรับ ตั้ง เปลี่ยน,1
35,L-015,หยดน้ำมันเครื่อง,1
36,A-006,ความผิดปกติของเสียง ,1
37,C-005,ทำความสะอาดถุงผ้าดักฝุ่น,1
38,I-179,ปริมาณน้ำมัน,1
39,I-180,อัตราการปั๊ม,1
40,C-006,ล้างทำความสะอาด,1
41,I-182,การสึกกร่อน,1
42,I-183,การหย่อน,1
43,I-181,ไม่ผุกร่อน,1
44,I-184,การรั่วของคอปั๊ม  ,1
45,L-009,อัดจารบี ฟู้ดเกรดลูกปืนแกน,1
46,I-185,เป็นสนิม,1
47,C-007,แปรงขัด,1
48,I-186,ความผิดปกติหัวฉีดน้ำมันเกียร์,1
49,C-008,ล้างกรอง Y-Stainer,1
50,C-009,ทำความสะอาดภายในถัง ,1
51,A-010,ปรับ ตั้ง,1
52,L-010,ใช้แปรงปัดอัดจารบีฟู้ดเกรด,1
53,L-011,อัดจารบี ฟู้ดเกรดตลับลูกปืน,1
54,A-011,ติดตั้ง,1
55,C-010,การอุดตัน และการทำความสะอาด กรองอากาศ,1
56,C-011,ทำความสะอาดเครื่องจักร ,1
57,I-187,"ความผิดปกติของสปริง,งอ,แตกร้าว",1
58,I-188,สนิมที่ใบมีด,1
59,I-189,การสึกกร่อนของโซ่,1
60,I-190,รัวและหมดสภาพ,1
61,I-191,การรัว และการแตกร้าวชุดเกียร์ ,1
62,L-014,การหยอดน้ำมันลูกรอก,1
63,I-192,การสั่นสะเทือน,1
64,I-193,การรั่วของข้อต่อ,1
65,I-194,ความผิดปกติของระยะเวลาการWorm-Up,1
66,I-200,การมีเสียงเตือน,1
67,I-202,ค่าความเบี่ยงเบนมาตรฐานของเครื่องชั่งอยู่ในช่วงที่ยอมรับได้,1
68,I-203,ไม่ดังผิดปกติ/กระแสไม่สูงเกิน,1
69,I-201,การไหม้และการเกิดควัน,1
70,I-204,ไม่แตกหัก/ตัวยึดครบ,1
71,I-219,ตรวจเช็คความผิดปกติของสกรู,1
72,I-205,ไม่ชำรุด/บิดงอ/หลวมคลอน,1
73,I-198,การติดของระบบไฟ,1
74,L-012,แปรงขัดและทาจารบี ฟู้ดเกรด,1
75,I-199,มีเสียงเตือน,1
76,I-197,ตรวจเช็คความผุกร่อนการเสื่อมสภาพ,1
77,I-178,ตรวจเช็คการฝืด,1
78,I-195,การสึกหรอและประสิทธภาพ,1
79,I-206,ไม่ผุพัง/ไม่เสียรูป,1
80,I-012,ตรวจเช็คน้ำ Softener ก่อนเข้า Boiler,1
81,I-013,ตรวจเช็คน้ำ Softener ก่อนเข้า Line ผลิต,1
82,I-014,ตรวจเช็คการทำงานของเครื่องเติมอากาศ,1
83,I-015,ตรวจเช็คปั๊มบ่อSum,1
84,I-016,ตรวจเช็คปั๊มบ่อน้ำเสีย,1
85,I-017,ตรวจเช็คค่าแรงดันและกระแสที่ตู้เมน,1
86,I-018,ตรวเช็คปริมาณการใช้ไฟฟ้าของระบบบำบัดน้ำเสีย (kw/hr.),1
87,I-019,ตรวจเช็คปริมาณน้ำเสียเข้าระบบต่อวัน,1
88,I-020,ตรวจเช็คปริมาณน้ำเสียปล่อยออกต่อวัน,1
89,I-021,ตรวจเช็คคุณภาพน้ำออก,1
90,I-022,ตรวจเช็คการใช้น้ำบาดาลจากบ่อบาดาล,1
91,I-023,การตรวจเช็คการผสมน้ำคลอรีน,1
92,I-024,ตรวจเช็คระดับน้ำคลอรีนในถัง,1
93,I-025,ตรวจเช้คระบบFeedคลอรีน,1
94,I-026,ตรวจเช็คปริมาณการใช้น้ำ,1
95,I-027,ตรวจเช็คการอุดตันของเครื่องกรองน้ำ(ไม่เกิน3%),1
96,I-028,ตรวจเช็คและล้างกรอง,1
97,I-029,ตรวจเช็คทำความสะอาดภายนอกถัง,1
98,I-030,ตรวจเช็คสิ่งเจื่อปนในน้ำ,1
99,I-031,ตรวจเช็คระบบสูบน้ำอัตโนมัติ,1
100,I-032,ตรวจเช็คระดับน้ำมันเชื้อเพลิง,1
101,I-033,ตรวจเช็ครอยรั่วของถังน้ำมันเชื้อเพลิง,1
102,I-034,ตรวจเช็คการรั่วซึมของถังน้ำมันเครื่อง,1
103,I-035,ตรวจเช็คระดับน้ำมันเครื่อง,1
104,I-036,ตรวจเช็คการรั่วซึมของท่อน้ำดับเพลิง,1
105,I-037,ตรวจเช็คระดับบแรงดันน้ำภายในท่ออยู่ที่ 100-150 PSI,1
106,I-038,ตรวจเช็คสายพานหน้าเครื่อง,1
107,I-039,ตรวจเช็คกรองอากาศ,1
108,I-040,ตรวจเช็คระดับบน้ำกลั่นในแบตเตอรี่,1
109,I-041,ตรวจเช็คความสะอาดพื้นที่โดยรวม,1
110,I-042,ตรวจเช็คตู้ควบคุม,1
111,I-043,ตรวจเช็คการ Test run เครื่อง,1
112,I-044,ตรวจเช็คทำความสะอาดฟิลเตอร์,1
113,I-045,ตรวจเช็คทำความสะอาดคอนเดนเซอร์,1
114,I-046,ตรวจเช็คท่อน้ำทิ้ง,1
115,I-047,ตรวจเช็คพัดลม Fancoil,1
116,I-048,ตรวจเช็คพัดลมคอนเดนเซอร์,1
117,I-049,ตรวจเช็คทำความสะอาดภายนอกเครื่อง,1
118,I-050,ตรวจเช็คค่ากระแสไฟฟ้า และแรงดัน,1
119,I-051,ตรวจเช็ครอยรั่วของน้ำยา,1
120,I-052,ตรวจเช็ครอยรั่วของน้ำมันหม้อแปลง,1
121,I-053,ตรวจเช็คสารกรองความชื้น,1
122,I-054,ตรวจเช็คการอาร์คของพุชชิ่ง,1
123,I-055,ตรวจเช็คบริเวณที่มีสภาพแวดล้อม,1
124,I-056,ตรวจเช็คบริเวณที่ถูกน้ำถ่วนขัง,1
125,I-057,ตรวจเช็คบริเวณที่มีฝุ่นและควัน,1
126,I-058,ตรวจเช็คพื้นผิวทางเดินและถนน,1
127,I-059,ตรวจเช็คการอุดตันของท่อระบายน้ำ,1
128,I-060,ตรวจเช็คพื้นที่บริเวณส่วนปฏิบัติงาน,1
129,I-061,ตรวจเช็คสีและรอยแตกร้าวของผนัง,1
130,I-062,ตรวจเช็คข้อต่อสายแรงสูง แรงต่ำเช่น การอาร์ค,1
131,I-063,ตรวจเช็คลูกถ้วยดูการแตกร้าว,1
132,I-064,ตรวจเช็คสารดูดความชื้น เช่น การเปลี่ยนสีเดิม(สีน้ำเงิน),1
133,I-065,ตรวจเช็ครอยซึมของวาวล์ถ่ายน้ำมัน,1
134,I-066,ตรวจเช็คสภาพทั่วไปของแผงจ่ายไฟ,1
135,I-067,ตรวจเช็ความสะอาดภายนอกตู้,1
136,I-068,ตรวจเช็คทำความสะอาดบริเวณห้องเครื่องไฟฟ้า,1
137,I-069,ตรวจเช็คขัว และขาหลอด (ไฟสว่าง),1
138,I-221,ตรวจเช็ค Circuit Breaker,1
139,I-071,ตรวจเช็คความเสื่อมสภาพของสตาร์ทเตอร์,1
140,I-072,ตรวจเช็คการอาร์ค และการเสื่อมสภาพ (เต้ารับ),1
141,I-073,ตรวจเช็คการอาร์ค และการเสื่อมสภาพ (สวิทซ์),1
142,I-074,ตรวจเช็คจุดต่อของสายตัวนำ(สายตัวนำ),1
143,I-075,ตรวจเช็คการทำความสะอาด (หลอดไฟ&ดวงโคม),1
144,I-076,ตรวจเช็คทำความสะอาดภายในแผงจ่ายไฟ,1
145,I-077,ตรวจเช็คค่ากระแสของแต่ละเซอร์กิต (Amp),1
146,I-078,ตรวจเช็คทำความสะอาด BUS DUCT และท่อเมนไฟฟ้า,1
147,I-079,ตรวจเช็คปริมาณน้ำมันหม้อแปลง,1
148,I-080,ตรวจเช็คพืช และวัชพืชรอบๆ หม้อแปลง,1
149,I-081,ตรวจเช็คระบบไอดีสภาพกรองอากาศ,1
150,I-082,ตรวจเช็คระบบไอดีอากาศรั่วที่ข้อต่อ,1
151,I-083,ตรวจเช็คระบบไอเสียหม้อพักท่อไอเสีย,1
152,I-084,ตรวจเช็คระบบไอเสียน้ำมันรั่วที่เทอโบ,1
153,I-085,ตรวจเช็คระบบไอดีโครงยึดรับท่อไอเสีย,1
154,I-086,ตรวจเช็คระดับน้ำเชื้อเพลิงไม่น้อยกว่า 200 ลิตร,1
155,I-087,ตรวจเช็คระดับน้ำมันเชื้อเพลิงในถังกักเก็บ,1
156,I-088,ตรวจเช็ครอยรั่วของน้ำมัน,1
157,I-089,ตรวจเช็คเเรงดันน้ำมันเครื่อง,1
158,I-090,ตรวจเช็ควัดรอบเครื่องยนต์,1
159,I-091,ตรวจเช็คแผงควบคุม,1
160,I-092,ตรวจเช็คอุณหภูมิน้ำหล่อเย็น,1
161,I-093,ตรวจเช็คน้ำกลั่นแบตเตอรรี่,1
162,I-094,ตรวจเช็คแรงดัน ดี.ซี.แบตเตอรรี่,1
163,I-095,ตรวจเช็คการ test tung เครื่อง,1
164,I-096,ตรวจเช็คกรองน้ำมันเชื้อเพลิง,1
165,I-097,"ตรวจเช็คการรั่วของถัง,ท่อสายน้ำมันเชื้อเพลิง ",1
166,I-098,ตรวจเช็คน้ำมันเครื่องบายพาส,1
167,I-099,ตรวจเช็คการรั่วซึมของน้ำมันเครื่อง,1
168,I-100,ตรวจเช็คระดับน้ำในหม้อน้ำ,1
169,I-101,"ตรวจเช็คสภาพหม้อน้ำ,ฝาใบพัดลม",1
170,I-102,ตรวจเช็คการรั่วซึมของหม้อน้ำ,1
171,I-103,ตรวจเช็คสิ่งสกปรกของรังผึ้ง,1
172,I-104,ตรวจเช็คสวิทซ์ และสัญญาณไฟแผงควบคุม,1
173,I-105,ตรวจเช็คระดับน้ำมันเครื่อง,1
174,I-106,ตรวจเช็คระดับแรงดันที่เกจวัด(อยู่ระหว่าง5-7 bar),1
175,I-107,ตรวจเช็คความตึงของระดับสายพาน,1
176,I-108,ตรวจเช็ควาวล์นิรภัย,1
177,I-109,ตรวจเช็คสวิตช์ และสัญญาณไฟแผงควบคุม,1
178,I-110,ระดับน้ำมันในถัง (ไม่ต่ำกว่า600 L),1
179,C-013,ทำความสะอาดไส้กรองแยกน้ำมัน,1
180,L-013,อัดจารบีมอเตอร์,1
181,C-014,ทำความสะอาด Ari Cooler,1
182,I-207,ความผิดปกติของแหวนล็อค,1
183,C-016,ทำความสะอาดกรองอากาศ,1
184,C-012,ทำความสะอาดภายในและภายนอกตู้คอนโทรล,1
185,I-111,"ตรวจเช็คการทำงานการอุดตันของหลอดแก้ววัดระดับน้ำ,วาล์วและท่อ",1
186,I-112,"ตรวจเช็คการอุดตัน,สิ่งสกปรก,การชำรุดของวาล์วถ่ายน้ำทิ้ง",1
187,I-113,ตรวจเช็คหาความสัมพันธ์ของปั๊มน้ำกับหลอดแก้วของเครื่องควบคุมระดับน้ำ,1
188,I-114,"ตรวจเช็คการทำงานของสัญญาณเสียง,แสงของสัญญาณเตือนภัยอัตโนมัติ",1
189,I-115,ตรวจเช็คความกระด้างของน้ำที่ไหลผ่าน Softener,1
190,I-116,ตรวจเช็คการรั่ว และการสั่นของปั๊มน้ำ,1
191,I-117,ตรวจเช็คการทำงานของเกจการอุดตันของท่อ,1
192,I-118,ตรวจเช็คการทำงานของสวิทซ์ควบคุมความดันสอดคล้องกับความดันที่ตั้ง และการอุดตันของท่อ,1
193,I-119,ตรวจเช็คการรั่วหรือการเปิดค้างของวาวล์กันกลับที่ท่อน้ำเข้า,1
194,I-120,ตรวจสิ่งสกปรกที่ก้นถัง และการรั่วของถังเก็บน้ำมัน,1
195,I-121,ตรวจเช็คการทำงานและการรั่วของฝานิรภัย,1
196,I-122,ตรวจเช็คบันทึกการเปลี่ยนทรายดูดวับน้ำมัน,1
197,I-123,ตรวจเช็คการรั่วของไอ Steam,1
198,I-124,ตรวจเช็คอุปกรณ์ดักไอ,1
199,I-125,ตรวจเช็คเกจวัดความดัน,1
200,I-126,ตรวจเช็คการทำงาน และการรั่วซึมของลิ้นนิรภัย,1
201,I-127,ตรวจเช็คการรั่วซึมของแกนวาล์วจ่ายไอ,1
202,I-128,ตรวจเช็คการรั่วซึมลักษณะเปลวไฟของหัวฉีด,1
203,I-129,ตรวจเช็ค และทำความสะอาดหัวพ่นไฟ AWO,1
204,I-130,ตรวจเช็คการทำงาน และสิ่งสกปรกของตาไฟ,1
205,I-131,ตรวจเช็คดูการแตกร้าวของกระจกดูการเผาไหม้,1
206,I-132,ตรวจเช็คดูการรั่วซึม และอุณหภูมิน้ำมันของอุปกรณ์อุ่นน้ำมัน,1
207,I-133,ตรวจเช็คการหมุน และเสียงดังของพัดลม,1
208,I-134,ตรวจเช็คการอุดตันการล้างกรองของไส้กรองน้ำมัน,1
209,I-135,ตรวจการรั่วหรือการปิดของวาวล์ระบบระบายน้ำ (บ่อ Bun),1
210,I-136,ตรวจเช็คอุณหภูมิน้ำมัน 40-100 ํC,1
211,I-137,ตรวจเช็คความดันน้ำมัน 0-2.7 Kg/Cm2,1
212,I-138,ตรวจเช็คมาตรน้ำมัน IN/L,1
213,I-139,ตรวจเช็คความไอ 0-7 Kg/Cm2,1
214,I-140,ตรวจเช็คอุณหภูมิปล่องควัน 150-250 C,1
215,I-141,ตรวจเช็คมาตรน้ำ m3,1
216,I-142,ตรวจเช็คมาตรชั่วโมง (H),1
217,I-143,ตรวจเช็คค่าTDS/PPM ของน้ำBoiler,1
218,I-144,ตรวจเช็คอุณหภูมิน้ำ ของน้ำใน Boiler,1
219,I-145,ตรวจเช็คปริมาณน้ำมันเชื้อเพลิง/ลิตร,1
220,I-146,ตรวจเช็คค่า PH,1
221,I-147,ตรวจเช็คระดับน้ำมันในถัง (Separator),1
222,I-148,ตรวจเช็คระดับแรงดันที่เกจวัด,1
223,I-149,ตรวจเช็คอุณหภูมิAir Cooler,1
224,I-150,ตรวจเช็คระดับแรงดันในถังพัก 5-7.5 Bar,1
225,I-151,ตรวจเช็คมาตร ชั่วโมง,1
226,I-152,ตรวจเช็ครอยรั่วซึมของน้ำมัน,1
227,I-153,ตรวจเช็คระดับแรงดันที่เกจวัด(140 PSI),1
228,I-154,ตรวจเช็คการอุดตันกรองน้ำมัน,1
229,I-155,ตรวจเช็คความปกติของปั๊มน้ำมัน,1
230,I-156,ตรวจเช็คลวดความร้อน,1
231,I-157,ตรวจเช็คน้ำระบายความร้อน,1
232,I-158,ตรวจเช็คอุณหภูมิ,1
233,I-159,ตรวจเคเช็คแรงดันของน้ำ,1
234,I-160,ตรวจเช็ควาวล์,1
235,I-161,ตรวจเช็คกรองวายสแตนเนอร์,1
236,I-162,ตรวจเช็คความถวงจำเพาะของน้ำยา,1
237,I-163,ตรวจเช็คการทำงานของคอมเพรสเซอร์,1
238,I-164,ตรวจเช็คการทำงานของมอเตอร์,1
239,I-165,ตรวจเช็คแรงดันของน้ำยา ด้านHi,1
240,I-166,ตรวจเช็คแรงดันของน้ำยา ด้านLow,1
241,I-167,ตรวจเช็คแผงระบายความร้อน (คอยส์ร้อน) ,1
242,I-168,ตรวจเช็คสภาพน้ำ,1
243,I-169,ตรวจเช็คแรงดันน้ำภายในท่อที่เกจวัด 12-50 PSI,1
244,I-170,ตรวจเช็ควาวล์ควบคุมการเปิดปิด,1
245,I-171,การตรวจเช็คการรั่วซึมของท่อน้ำ,1
246,I-172,ตรวจเช็คแผงระบายความร้อนของน้ำ (PVC Filling),1
247,I-173,ตรวจเช็คแผงทางลม (Air Intel),1
248,I-174,ตรวจเคสายไฟพร้อมขันน๊อตจุดต่อต่างๆ,1
249,I-196,การสึกกร่อนของลูกโม่บด,1
250,T-004,การขันน๊อตการรั่ว,1
251,C-018,ทำความสะอาดสิ่งสกปรกข้างในกระเปาะ,1
252,I-175,เช็คความเสียหาย,1
253,I-176,เช็คระดับตรงตาแก้ววัดให้อยู่ระดับกึ่งกลางการรั่วซึมของสารเคมีตามข้อต่อ,1
254,I-177,ตรวจสอบโครงสร้าง,1
255,A-012,ติดตั้งเพิ่ม,1
256,I-208,ตรวจสอบระบบการไหลของน้ำ,1
257,A-013,ย้าย,1
258,A-014,ซ่อมแซม,1
259,A-015,ทำสี,1
260,A-016,สร้าง,1
261,T-005,ขันข้อต่อ,1
262,A-017,เปลี่ยน,1
263,A-018,เปลี่ยนสายสริงแอร์เรเตอร์,1
264,A-019,เปลี่ยนสายลม,1
265,L-016,อัดล็อคริกเพลา,1
266,I-209,เช็คระบบตู้Control,1
267,A-020,เปลี่ยนข้องอลม 90 องศา,1
268,A-021,อัดเกลียวใหม่,1
269,A-022,การตัดของใบมีด,1
270,A-023,เชื่อม,1
271,A-024,ตรวจเช็คการรั่ว,1
272,A-025,เชื่อม,1
273,T-006,อัดข้อต่อ,1
274,A-026,พ่นสี,1
275,A-027,รื้อถอน,1
276,A-028,เจาะ,1
277,A-029,แยงเขม่า,1
278,A-030,ทำฝาบ่อพัก,1
279,A-031,เปลี่ยนซีลวาล์ว,1
280,A-032,เจาะรูระบายน้ำทิ้ง,1
281,A-033,ดูดท่อน้ำทิ้งเครื่องปรับอากาศ,1
282,A-034,เปลี่ยนคาปาซิเตอร์ ,1
283,A-035,เปลี่ยนไส้กรอง RO,1
284,A-036,ปรับระดับการไหลของน้ำ,1
285,A-037,สร้างรถเข็น ,1
286,A-038,สร้างโต๊ะ,1
287,A-039,เปลี่ยนไฟสัญญาณเตือน,1
288,A-040,เปลี่ยนขดลวด,1
289,A-041,ทำตะแกรง,1
290,I-210,ตรวจเช็คลูกลอย,1
291,A-042,ยกเลิกใบแจ้งซ่อม,1
292,A-043,เปลี่ยนสะดือ,1
293,A-044,ซ่อมไม่ได้,1
294,A-045,เปลี่ยนตลับหมึก,1
295,A-046,ขัดสี,1
296,A-047,เปลี่ยนหลอดไฟ,1
297,A-048,เปลี่ยนสปริง,1
298,A-049,เปลี่ยนสายพาน,1
299,A-050,เปลี่ยนเทอร์โมฟิวส์ ,1
300,A-051,เปลี่ยนถุงลม,1
301,A-052,เปลี่ยนเกจวัดแรงดัน,1
302,A-053,ทำฝาปิด,1
303,A-054,เปลี่ยนโคมไฟ,1
304,A-055,เปลี่ยนวาล์ว,1
305,A-056,ติดตั้งม่านเหลือง,1
306,A-057,ติดตั้งโทรศัพท์,1
307,A-058,เปลี่ยนฝาแบตเตอรี่,1
308,T-007,ขันแน่นลูกบิด,1
309,T-008,ขันแน่นสายชำระ,1
310,I-211,ตรวจเช็คสัญญาณโทรศัพท์,1
311,A-059,เปลี่ยนแหวนล็อค,1
312,A-060,เปลี่ยนซีลกันน้ำชักโครก,1
313,A-061,เปลี่ยนลูกบิด,1
314,A-062,ทำที่เก็บเอกสาร,1
315,A-063,เปลี่ยนเกลียวยึดลูกลอย,1
316,A-064,เปลี่ยนเซนเซอร์,1
317,A-065,ติดป้าย,1
318,I-212,ตรวจเช็คเครื่องปรับอากาศ,1
319,A-066,ต่อสายไฟ,1
320,T-009,ขันแน่น,1
321,A-067,สั่งซื้อ,1
322,A-068,ต่อท่อ,1
323,T-010,ขันแน่นประเก็ณฑ์,1
324,A-069,เปลี่ยนสลิง,1
325,A-070,เปลี่ยนน๊อต,1
326,A-071,เปลี่ยนตลับลูกปืน,1
327,A-072,เดินระบบน้ำ,1
328,A-073,สร้างอุปกรณ์,1
329,L-017,อัดประเก็น,1
330,A-074,เจียร์,1
331,I-213,ตรวจเช็คโดยวิศวกรรมพร้อมจัดทำรายงานส่งหน่วยงานรัฐ,1
332,I-214,เช็คความผิดปกติของเสียง,1
333,A-001,ปรับตั้งความตึงของสายพาน,1
334,I-215,ตรวจเช็คการรั่วซึมของน้ำมัน Gear motor,1
335,I-216,ตรวจเช็คการสึกหรอของบูททองเหลือง,1
336,I-217,ตรวจเช็คการอุดตันของตระแกรงสแตนเลส,1
337,I-217,ตรวจเช็คการสึกหรอของใบมีด,1
338,I-220,ตรวจเช็ค Pilot Lamp,1
339,I-222,ตรวจเช็คการอาร์คของไฟฟ้าตามจุดต่อต่าง ๆ ภายในตู้,1
340,I-223,ตรวจเช็คระบบลม,1
341,I-224,ตรวจเช็คสภาพ เฟืองทดและฟันเฟืองต่าง ๆ,1
342,I-225,ตรวจเช็ค Chain Coupling,1
343,I-226,ตรวจเช็คปั้มน้ำ,1
344,I-227,ตรวจเช็คการทำงานของระบบ Emergency,1
345,I-228,ตรวจเช็คการทำงานลิมิตสวิตช์,1
346,I-229,ตรวจเช็คยอย Coupling,1
347,I-300,ตรวจเช็คระบบน้ำ Cooling,1
348,I-301,ตรวจเช็คสวิทช์ควบคุมรอกไฟฟ้า,1
349,I-302,ตรวจเช็คสภาพลูกกลิ้ง,1
350,I-303,ตรวจเช็คสภาพสปริง,1
351,I-304,ตรวจเช็ครอยรั่ว ต่าง ๆ,1
352,I-305,ตรวจเช็คสภาพของชุดใบกวน,1
353,I-306,ตรวจเช็คการหมุนของใบกวน,1
354,I-307,ตรวจเช็คการดูดของ VACCUM,1
355,I-308,ตรวจเช็คกระบอกลม,1
356,I-309,ตรวจเช็คระบบหัวฉีดน้ำ,1
357,I-310,ตรวจเช็คระบบระบบหัวจ่ายน้ำซีอิ้ว,1
358,C-019,ทำความสะอาดหัวพ่นตัวอักษร,1
359,I-311,ตรวจเช็คตลับหมึก,1
360,A-076,ปรับตั้งความตึงสายสริง,1
361,C-020,ทำความสะอาดชุด Blower,1
362,I-312,ตรวจเช็คข้อต่อ Fitting และข้อต่อทางส่งลมอัด,1
363,I-313,ตรวจเช็คชุดกรองดักน้ำและตัวปรับแรงดันคงที่ 6 บาร์(80PSI),1
364,L-018,หล่อลื่นเฟื่อง ล้อ และจุดหมุนต่าง,1
365,A-077,ตรวจเช็ครอยรั่ว ซีล หัวบรรจุ ข้อต่อร่วมทั้งท่อทางส่งลมอัด,1
366,A-078,เปลี่ยนสลิงสแตนเลส ขนาด 3 มิล.พร้อมแค้มรัดสายสลิง 4 ตัว,1
367,I-314,ตรวจเช็คสภาพของสายสลิง รวมทั้งแค้มรัดสายสลิง (ยกตุ้มน้ำหนัก),1
368,I-315,ตรวจเช็คเฟืองเกียร์ สำหรับขับและ/หรือส่งกำลัง,1
369,I-316,ตรวจเช็คชุด Vacuum pump,1
370,I-317,ตรวจเช็คระบบเซนเซอร์,1
371,I-318,ตรวจเช็คสภาพท่อน้ำใช้งาน,1
372,I-319,ตรวจเช็คสภาพท่อสตรีม,1
373,I-320,ตรวจเช็คการทำงานของถุงลม,1
374,A-079,เช็คจำนวนน๊อตยึดและขันแน่น,1
